EP loss_test loss_valid
304 0.12138157337903976 0.12138328701257706
305 0.12105263024568558 0.12105434387922287
306 0.12072591483592987 0.12072764337062836
307 0.12040015310049057 0.12040188163518906
308 0.12007451057434082 0.12007623165845871
309 0.11974926292896271 0.1197509765625
310 0.11942487955093384 0.11942660063505173
311 0.11910070478916168 0.11910241842269897
312 0.11877847462892532 0.11878018081188202
313 0.11845654249191284 0.11845828592777252
314 0.11813267320394516 0.11813437938690186
315 0.11781227588653564 0.11781398206949234
316 0.11749237030744553 0.11749408394098282
317 0.11717217415571213 0.11717388033866882
318 0.1168539747595787 0.116855688393116
319 0.11653470993041992 0.11653643846511841
320 0.1162181943655014 0.1162199005484581
321 0.11589925736188889 0.11590097844600677
322 0.11558350175619125 0.11558520793914795
323 0.11526869237422943 0.11527041345834732
324 0.1149539202451706 0.11495563387870789
325 0.11463809013366699 0.11463979631662369
326 0.11432376503944397 0.11432549357414246
327 0.11401237547397614 0.11401409655809402
328 0.11369874328374863 0.11370047926902771
329 0.11338683217763901 0.1133885607123375
330 0.11307425796985626 0.11307597160339355
331 0.11276501417160034 0.11276673525571823
332 0.1124538853764534 0.11245561391115189
333 0.11214488744735718 0.11214660108089447
334 0.1118333488702774 0.1118350550532341
335 0.11152782291173935 0.11152952909469604
336 0.11122211813926697 0.11122382432222366
337 0.11091379076242447 0.11091552674770355
338 0.11060704290866852 0.11060875654220581
339 0.1103018969297409 0.11030362546443939
340 0.10999778658151627 0.10999950766563416
341 0.10969419032335281 0.1096959114074707
342 0.10938994586467743 0.10939165949821472
343 0.10908529907464981 0.1090870201587677
344 0.10878364741802216 0.10878536850214005
345 0.10848299413919449 0.10848471522331238
346 0.10817945003509521 0.1081811860203743
347 0.10788114368915558 0.10788287967443466
348 0.1075812503695488 0.10758297890424728
349 0.10728227347135544 0.10728399455547333
350 0.10698330402374268 0.10698503255844116
351 0.1066843569278717 0.10668608546257019
352 0.10638771206140518 0.10638944059610367
353 0.10609155148267746 0.10609327256679535
354 0.10579230636358261 0.1057940274477005
355 0.10549908876419067 0.10550080239772797
356 0.10520680248737335 0.10520852357149124
357 0.10491250455379486 0.10491421818733215
358 0.10461846739053726 0.10462018102407455
359 0.10432712733745575 0.10432884097099304
360 0.10403439402580261 0.1040361076593399
361 0.10374133288860321 0.1037430688738823
362 0.10345129668712616 0.10345301777124405
363 0.10316053032875061 0.10316227376461029
364 0.10287212580442429 0.10287384688854218
365 0.10258141905069351 0.1025831550359726
366 0.10229374468326569 0.10229546576738358
367 0.10200604796409607 0.10200776159763336
368 0.10171888768672943 0.10172060877084732
369 0.10143284499645233 0.10143457353115082
370 0.10114675760269165 0.10114847868680954
371 0.1008625254034996 0.10086426138877869
372 0.1005769595503807 0.1005786880850792
373 0.10029244422912598 0.10029416531324387
374 0.10000710189342499 0.10000882297754288
375 0.09972696006298065 0.09972868859767914
376 0.09944489598274231 0.0994466245174408
377 0.0991639643907547 0.09916570037603378
378 0.09888166189193726 0.09888338297605515
379 0.09860260784626007 0.09860432893037796
380 0.09832251071929932 0.0983242392539978
381 0.09804259240627289 0.09804430603981018
382 0.09776445478200912 0.09776618331670761
383 0.09748703241348267 0.09748874604701996
384 0.09720955044031143 0.09721127897500992
385 0.09693308174610138 0.09693481028079987
386 0.09665641188621521 0.0966581404209137
387 0.09638313949108124 0.09638485312461853
388 0.09610867500305176 0.09611039608716965
389 0.09583309292793274 0.09583481401205063
390 0.09556020796298981 0.0955619364976883
391 0.09528703987598419 0.09528876096010208
392 0.09501540660858154 0.09501713514328003
393 0.09474356472492218 0.09474529325962067
394 0.09447397291660309 0.09447568655014038
395 0.09420205652713776 0.09420377016067505
396 0.09393365681171417 0.09393537789583206
397 0.09366568177938461 0.0936674028635025
398 0.09339626133441925 0.09339798241853714
399 0.09312807023525238 0.09312979876995087
400 0.0928611010313034 0.0928628221154213
401 0.09259491413831711 0.09259666502475739
402 0.09232744574546814 0.09232916682958603
403 0.09206444025039673 0.09206616133451462
404 0.09179729968309402 0.09179902076721191
405 0.09153322875499725 0.09153494238853455
406 0.09126976132392883 0.09127148240804672
407 0.09100805222988129 0.09100977331399918
408 0.09074314683675766 0.09074486792087555
409 0.09048338234424591 0.0904851108789444
410 0.09022106975317001 0.0902227982878685
411 0.08996005356311798 0.08996178209781647
412 0.08969948440790176 0.08970121294260025
413 0.08944186568260193 0.08944358676671982
414 0.0891835168004036 0.08918523788452148
415 0.08892448991537094 0.08892621845006943
416 0.0886673554778099 0.08866908401250839
417 0.08841171860694885 0.08841343969106674
418 0.0881548598408699 0.08815659582614899
419 0.08789796382188797 0.08789969980716705
420 0.08764474093914032 0.0876464694738388
421 0.08738858252763748 0.08739030361175537
422 0.08713506162166595 0.08713678270578384
423 0.08688101172447205 0.08688274770975113
424 0.08662863075733185 0.08663037419319153
425 0.08637496083974838 0.08637668937444687
426 0.08612579852342606 0.08612753450870514
427 0.08587423712015152 0.08587596565485
428 0.0856224000453949 0.08562413603067398
429 0.08537380397319794 0.08537552505731583
430 0.08512403070926666 0.08512574434280396
431 0.0848754495382309 0.08487718552350998
432 0.0846271961927414 0.08462892472743988
433 0.0843813568353653 0.08438309282064438
434 0.08413399755954742 0.0841357409954071
